unit_id,S1_Incoming,S2_Clean,S3_Deposition,S4_Litho,S5_Etch,S6_Implant,S7_Anneal,S8_Final_CD
30,100.0289,101.5528,100.2259,101.1182,97.6586,99.9313,99.2346,105.2237
31,101.7363,99.5985,98.1976,99.1868,104.2189,98.9887,96.3511,97.5317
32,98.2438,103.273,99.4244,98.2795,97.2737,104.9809,97.575,100.6167
33,102.8448,100.0157,101.9779,101.3177,99.4578,99.9871,102.2971,98.7493
34,98.6788,99.0325,100.9548,97.7203,101.4775,99.0046,96.8307,102.2438
35,101.6778,98.0546,98.9845,96.9651,99.9777,100.4806,98.0496,100.2711
36,103.7872,99.9294,99.0197,98.0723,94.4008,99.3025,98.1645,98.4052
37,99.5561,100.2688,99.2463,97.2196,99.7507,97.5793,100.432,97.6709
38,102.9038,98.2826,101.2714,102.6544,100.5717,97.9593,96.6935,101.5534
39,99.8412,102.8249,96.9428,103.9721,97.8573,101.5323,97.9835,98.5472
40,98.9926,100.491,100.9509,97.7233,102.9883,98.1095,99.4025,100.4304
41,99.5303,103.2197,101.2655,100.8701,100.3912,101.2381,101.8397,99.6892
42,100.4709,98.2127,103.5446,100.671,101.2184,101.8049,100.4234,102.7587
43,98.8953,100.4962,99.2688,105.7111,97.4617,100.5902,100.7886,102.2904
44,103.0263,99.7494,100.0217,99.2002,102.9816,97.5139,105.1741,99.1788
45,100.6631,100.6818,100.4133,97.5905,101.5794,103.3897,100.1513,103.0001
46,102.7833,103.7549,101.2542,99.23,96.5975,98.6264,101.983,99.3774
47,98.831,99.0297,103.3322,99.4905,100.8963,96.0047,96.7699,103.545
48,98.1925,97.7925,100.5353,104.0354,98.7778,101.6308,96.9085,99.0836
49,100.4928,98.0464,99.6835,104.2718,107.6669,100.4063,101.3266,99.9215
50,98.4092,100.7599,100.6819,100.4957,102.9188,108.3805,104.4034,101.4402
51,98.8737,99.1036,101.0612,101.6323,97.986,103.2017,104.138,98.9379
52,102.5668,99.2442,96.6131,98.5334,102.0582,100.1414,101.2165,101.5999
53,101.0203,99.7058,100.4651,100.5608,96.5133,102.1965,102.8364,100.1649
54,97.6238,96.4779,101.4069,98.6879,101.5611,95.0458,102.6752,99.6494
55,103.1269,97.8063,97.6523,103.0834,97.8209,99.9167,93.185,102.5148
56,99.0788,102.7686,99.5304,95.6285,102.425,93.9844,103.7428,95.4737
57,102.2702,96.986,103.6959,105.1842,96.3803,101.283,98.6599,100.4327
58,99.5316,100.6715,100.1938,103.9012,105.6458,94.8741,98.6156,98.8221
59,99.4407,100.3177,102.9357,99.8509,104.0354,101.4677,99.5954,98.3645
60,97.7001,101.0467,100.5522,98.6549,100.7913,100.5782,101.0479,98.5094
61,100.1965,99.2522,100.4249,96.912,100.428,102.6708,96.961,100.9744
62,100.326,99.6155,98.4757,103.6117,96.8205,97.0578,102.4363,94.5483
63,100.8698,98.4116,103.0013,99.8272,105.5071,97.7068,100.0148,102.4463
64,101.6824,103.672,100.2978,104.9763,99.1012,102.3612,97.3434,102.1977
65,96.4894,97.4626,102.8109,99.6476,101.2942,98.8154,99.8149,98.4538
66,98.5804,99.4117,96.7451,103.2588,97.3,100.9145,104.2101,99.8814
67,99.6181,101.8736,102.176,97.0386,104.6317,101.8112,100.5692,102.2458
68,103.4225,101.1348,103.163,100.1751,98.1283,101.0734,102.4974,100.1137
69,101.5661,103.1092,102.7421,101.4852,103.4446,99.0857,98.9708,102.4953
70,99.4069,102.9044,103.7741,100.8369,104.1352,100.5176,101.7328,99.0652
71,101.4472,100.6295,100.4693,100.2181,99.8518,99.2616,102.0482,104.846
72,98.0798,99.8743,102.0517,101.7765,99.2608,102.2577,101.3388,101.4076
73,101.0989,97.4503,102.6724,103.8689,100.7159,100.1449,106.4961,103.8458
74,101.843,104.0169,97.8166,100.061,99.7496,100.1847,99.3476,101.939
75,99.8386,99.6842,101.2929,96.9962,102.4687,101.9662,100.1507,104.0334
76,100.398,99.3799,102.3273,100.6869,100.0628,100.4321,101.1518,100.4875
77,99.8291,99.6033,99.648,99.7034,105.1551,101.4817,103.6614,102.2206
78,99.1739,99.6519,99.0899,100.4001,102.9624,100.5433,103.796,99.7763
79,100.4588,100.8888,98.9431,99.8797,99.2422,109.1697,101.9868,103.6271
80,99.4855,100.3466,100.6713,99.8974,102.2985,97.7788,104.8329,100.9784
81,98.2039,100.0056,99.6155,100.4858,97.492,103.3593,100.707,100.0666
82,99.6133,99.8578,96.6555,99.3456,99.64,96.3386,100.6853,99.1359
83,99.0106,98.1532,96.4738,97.9456,97.6368,101.1954,96.3056,104.3343
84,100.6948,97.768,96.2671,98.8994,98.4213,100.2481,102.5765,96.4209
85,100.9735,100.1734,101.2554,96.6241,97.4344,98.7591,97.7744,100.1919
86,97.2002,101.899,104.2641,99.7769,97.3784,95.8605,95.2072,97.7165
87,101.8726,101.6623,100.1566,104.1673,99.5303,99.6092,100.507,96.9177
88,102.215,102.0757,98.6487,99.8709,104.4187,101.1215,100.0341,96.366
89,102.3501,99.1006,98.6394,95.4001,103.9981,104.1967,98.6291,99.1061
90,100.522,101.1728,103.9799,97.72,98.6529,100.0499,100.4268,103.8
91,99.8995,100.8817,105.3293,102.3197,93.7608,98.6924,102.4677,99.2118
92,101.7446,102.222,100.4774,98.55,101.3811,94.9925,97.6315,100.4221
93,100.7832,101.2717,101.2038,98.5822,99.8589,99.1474,100.1107,100.9862
94,101.6917,102.424,101.8078,99.0132,97.9419,99.5286,102.439,102.7531
95,98.7849,100.6187,101.7284,102.1264,95.9185,96.5661,98.8352,102.1714
96,101.5262,96.7817,99.3275,101.2691,99.647,93.3576,98.0908,101.6085
97,100.7138,99.0116,100.4889,101.0724,100.5935,101.541,97.7697,97.2319
98,99.2087,97.3947,100.3681,97.3518,100.4503,104.6136,100.418,98.1031
99,105.7803,94.6405,100.7052,98.3687,98.7368,100.9428,102.3897,99.3761
100,99.7459,101.613,97.235,98.6005,101.0555,93.6812,102.0878,102.7416
101,99.9971,99.9674,105.2394,97.0828,100.9838,101.1897,97.823,101.7493
102,98.6168,100.1862,100.9716,99.0808,96.1018,104.0789,102.8194,96.7143
103,100.4296,99.06,98.1408,102.9103,101.6347,96.0718,105.3334,103.5566
104,97.3348,95.4886,100.5605,99.8091,101.6098,101.7301,100.7799,100.7596
105,101.0792,99.2788,97.3911,103.7051,101.4105,101.7261,102.7111,102.5182
106,101.2249,100.829,95.9201,97.9114,105.3493,100.3315,103.091,100.3038
107,101.8638,99.9452,99.4551,93.2847,98.7084,102.6292,102.1795,99.9564
108,102.9042,98.7576,99.9151,96.3769,94.1311,96.6669,98.8825,103.6081
109,100.0584,103.6939,97.8189,101.2006,96.9817,96.3736,91.7161,100.1988
110,100.4478,97.9961,101.3347,99.331,100.3411,95.0189,97.2783,96.8914
111,98.9874,100.1281,98.3712,102.3639,99.3719,96.6129,94.6169,99.4423
112,98.9437,100.0547,98.3409,96.6344,103.5852,100.9754,94.2361,100.5136
113,100.1932,100.638,97.4932,98.6457,93.7648,103.2888,101.9287,95.4059
114,99.2477,107.6429,99.4235,100.1768,101.5701,98.91,100.4886,100.2409
115,97.7212,102.5098,107.871,96.6417,97.0031,98.6778,97.5567,100.1049
116,97.1123,97.9694,105.9142,103.6069,96.0155,98.7932,95.9266,96.9841
117,98.7671,99.8301,97.5193,107.1652,102.5791,95.8456,101.0942,93.0039
118,97.2774,100.1989,99.0652,99.7765,101.0921,103.3851,103.0636,97.4753
119,99.7529,102.9078,98.1959,98.641,98.5884,101.2895,106.3204,103.7158
120,101.6823,98.324,103.6606,100.2616,98.0591,99.7739,100.0559,102.491
121,98.7778,103.8776,99.8972,104.7159,98.5814,100.7025,101.4265,101.1751
122,100.3614,101.0845,106.4429,98.4227,100.3056,99.7762,101.2737,102.1501
123,101.6236,102.2711,97.3639,103.0104,100.6689,97.9854,105.1253,100.0852
124,97.69,101.7754,100.1549,98.6931,100.8603,98.3952,94.5275,101.872
125,100.3262,99.3671,100.1036,99.1792,102.1768,102.1307,99.6288,98.0191
126,101.217,99.856,98.1846,102.0,102.3042,99.8474,100.836,101.2175
127,99.1175,101.2953,98.867,99.3607,102.8955,101.1724,102.1223,98.9953
128,97.5243,98.9066,101.9211,100.0911,98.5832,104.4597,101.9534,103.2132
129,103.9942,100.5968,101.0466,101.2957,99.7567,99.1701,99.3598,103.8434
130,97.5149,101.8504,97.3267,98.912,99.8279,99.8834,97.4322,99.0718
131,97.0451,98.6897,104.2188,99.8631,99.5542,99.4234,98.1354,99.0115
132,100.6606,97.4986,100.2051,103.071,97.3258,100.8463,101.4396,96.4987
133,98.8023,99.7699,95.7545,100.7044,102.0957,99.0279,97.3088,100.3891
134,100.0972,97.09,100.6254,97.9693,101.4161,102.3611,102.0522,100.2773
135,99.6975,101.6584,96.8702,102.0495,98.5967,103.9277,100.6133,101.3189
136,98.6063,101.1341,99.5349,97.8451,100.0538,100.3246,102.3852,100.4038
137,100.0954,101.676,101.0523,102.7075,105.5327,99.9434,100.7304,104.6826
138,101.115,98.9861,99.1161,98.1904,99.8889,103.2114,97.3648,100.6156
139,103.8266,100.2293,96.5463,95.5676,99.0102,99.7115,103.8486,102.7258
140,99.2077,103.0185,102.0919,94.0248,98.5172,102.3332,97.1198,102.4389
141,100.4436,100.3266,101.7164,97.182,96.0247,98.4254,100.6981,98.9697
142,102.2107,101.1803,96.5092,102.9086,98.8553,97.4935,95.0175,96.5449
143,97.3536,101.6503,96.9867,97.0084,101.8192,101.0019,99.9475,100.4827
144,99.3633,97.3862,101.618,96.1416,95.5867,98.5507,98.0407,97.0521
145,98.658,98.0623,94.7014,101.2552,97.9033,99.4494,99.3059,101.1879
146,99.2412,98.5946,99.3462,93.4832,103.4283,95.7337,97.4221,98.5379
147,97.1295,101.77,97.0226,98.9253,94.575,102.7871,97.7759,97.8819
148,103.2053,98.2377,103.6634,98.0853,97.5352,96.2008,97.1538,97.8952
149,101.273,101.8721,95.5133,103.3735,101.7867,101.081,96.8026,99.6526
150,98.946,102.4598,101.0491,94.9048,102.4873,99.3176,100.3675,97.8847
151,101.6509,100.6244,100.0296,101.0014,94.547,97.1529,102.5414,99.0057
152,97.6989,100.4532,99.3797,97.5922,98.7325,97.3099,96.8832,102.7593
153,96.0755,99.6826,102.2936,100.4042,96.7301,99.0133,99.021,96.7567
154,96.9924,94.1823,99.2688,103.7419,97.9651,98.2792,102.6266,99.3327
155,100.8004,98.8275,93.6237,98.4709,104.1185,95.6632,98.6936,100.9637
156,100.5281,99.0561,98.3419,92.6835,103.8084,102.4566,96.2087,100.5184
157,98.5307,95.3783,99.8925,103.6584,96.3171,103.3958,100.7524,99.641
158,105.5004,102.323,98.0582,99.8164,100.3426,97.1044,99.4307,98.4177
159,101.0357,100.2702,101.9976,100.0512,100.2193,102.4568,98.0922,100.6667
160,102.2713,101.6179,101.4349,112.6773,97.7626,100.0255,101.2266,98.257
161,100.528,102.6075,101.4809,105.715,103.8425,98.4497,95.7507,98.5879
162,97.7723,98.3326,104.783,108.1543,104.2003,101.7117,100.4307,100.1782
163,101.9449,99.0102,99.5759,108.2703,106.596,102.379,97.8398,102.7382
164,101.8358,102.2114,99.6931,107.3886,102.879,108.2278,105.897,100.1609
165,97.448,96.8961,103.4765,107.1228,103.1152,100.9758,105.5644,105.1783
166,97.7459,95.2011,98.457,111.1143,101.9028,101.8312,101.8205,105.7798
167,99.5862,99.9174,97.9431,108.9307,105.471,100.5675,101.0704,100.7948
168,102.4117,97.8666,95.9399,105.1032,104.4396,104.1382,102.2826,101.1243
169,100.2801,104.6306,98.427,102.4117,104.3653,105.5496,103.38,99.8711
170,99.4322,102.4351,106.8739,107.496,101.3011,103.5624,101.5509,103.9608
171,97.7249,98.3847,100.4973,108.4298,105.7268,99.4271,101.1204,101.6383
172,99.2488,99.0055,96.1141,105.331,105.3827,104.7303,98.4092,99.3306
173,101.5665,99.5773,99.9985,105.1133,101.6459,100.9198,108.2158,101.4383
174,101.2678,100.9851,99.4399,106.0255,99.3237,102.7259,97.8178,105.8622
175,99.4386,102.2934,103.7876,106.0917,104.3618,98.2674,98.9781,98.1228
176,98.8207,99.7021,99.6772,110.7504,101.1252,101.2533,96.8686,100.934
177,99.536,104.1007,96.6354,107.1602,105.5068,98.6905,99.0888,96.2222
178,100.2241,99.6683,103.5452,106.1241,103.9243,103.5007,97.6451,97.5329
179,99.7336,100.0107,100.6299,106.8008,102.1997,104.1275,99.5557,99.2783
180,101.1184,97.7523,100.0293,106.7851,101.6165,101.5256,102.9793,99.018
181,100.4201,99.8566,98.0993,110.2249,103.9201,97.6361,106.7962,102.3903
182,99.3927,101.2676,101.73,106.8677,103.5637,102.623,98.6688,102.1726
183,97.8783,100.9788,104.0923,107.9266,103.0726,100.5026,101.9162,97.1199
184,96.8841,100.1012,98.5351,113.0594,104.9853,101.8376,102.7021,102.7347
185,98.4033,96.6519,99.8679,108.4265,108.065,102.6068,99.755,100.032
186,97.6906,96.8615,96.3634,107.4452,107.1281,107.2262,106.5556,99.2501
187,99.6706,100.1467,98.4731,102.9549,105.2957,105.6501,102.5591,103.684
188,99.9725,96.891,98.8801,104.696,104.4341,102.0122,98.664,100.7957
189,99.4964,98.4703,98.9501,107.5079,104.7931,103.1041,102.6332,101.4522
190,96.1725,101.4758,100.9711,107.1441,106.3232,101.2865,99.645,101.5521
191,101.5284,98.5587,97.6317,109.1464,104.3957,100.5964,98.5505,96.7153
192,99.9502,100.5805,96.248,104.6309,102.4271,100.0297,100.6011,101.0263
193,99.4449,100.7257,100.158,107.3282,101.5531,100.4556,99.2984,102.6576
194,96.922,98.3924,98.4225,105.1838,105.8006,100.5412,100.6265,99.14
195,99.666,96.4313,99.1418,102.0191,105.5984,104.0451,97.8475,99.9463
196,98.2305,96.1388,97.3599,108.3542,100.8484,102.8089,102.8423,96.5525
197,100.1787,98.513,101.2166,105.3361,103.4354,102.042,102.5009,105.8308
198,99.8778,99.3218,102.0505,107.1881,104.3962,101.2204,98.6935,104.8193
199,100.8602,102.1477,99.8291,105.5844,104.5712,100.6847,102.1538,95.7866
200,100.2976,100.3337,103.5695,105.0953,100.7862,102.6366,98.7929,103.8309
201,102.3482,102.0135,101.1204,107.961,102.2724,100.9782,102.0948,96.3158
202,99.5266,98.2243,101.5172,108.9299,102.5291,100.522,100.0818,102.6286
203,99.3353,101.7105,97.1787,107.5515,110.3656,99.3095,104.1049,100.6968
204,98.9669,99.2726,98.4596,106.7202,102.1354,104.6406,101.7838,102.837
205,102.463,102.6079,100.9632,106.8008,102.6586,100.3013,104.4928,98.7363
206,96.4826,101.7103,102.3788,108.1257,102.9427,101.294,100.7496,101.8433
207,101.0005,97.9983,97.5433,107.8291,106.463,99.1269,103.8301,100.8144
208,99.964,95.2927,97.0156,104.7138,101.8363,103.5091,102.0048,98.8314
209,100.9135,101.4819,98.5351,105.1492,105.2873,99.1516,98.9558,100.7191
210,99.9094,101.4934,102.2493,102.7118,103.9526,102.9732,101.1197,102.5388
211,100.597,99.8923,101.0409,111.106,99.2585,101.3216,101.48,101.4598
212,98.7379,99.0893,99.0792,107.8391,107.046,98.2746,101.2415,99.5407
213,99.8669,98.5256,102.8895,103.8519,106.3085,105.9275,103.3283,98.9556
214,100.8742,103.2497,96.0378,109.3093,102.0312,103.9021,102.0791,99.714
215,102.7177,96.9623,101.6953,105.0152,109.012,98.8943,105.2344,99.2626
216,101.5253,103.5472,96.3004,110.2565,101.208,105.7144,100.8189,102.513
217,104.5878,102.5939,103.0646,107.4201,105.8699,104.0138,98.9549,98.1688
218,99.6156,103.8383,101.7003,108.8212,102.2966,104.2821,99.2392,97.2115
219,96.2987,98.6835,104.3385,102.7892,104.1123,98.8836,102.3529,101.3823
220,99.8711,99.3988,99.6714,107.6136,104.2041,101.4853,102.4003,100.4447
221,101.9269,96.0077,95.687,108.6137,105.0667,104.92,99.1979,102.1838
222,101.2371,99.4606,97.6278,102.8533,105.5498,104.9906,105.4865,102.3874
223,101.9158,100.2213,100.7675,107.0293,103.0641,106.1531,106.3667,106.2102
224,102.1444,98.7862,99.6951,105.9184,104.825,100.1635,101.2003,104.7312
225,99.9522,103.4402,100.509,106.46,101.565,98.5494,98.818,102.4497
226,101.9386,100.1434,102.1162,106.2527,100.0693,98.8297,100.8822,97.3416
227,100.3886,104.3792,101.1087,106.904,103.0513,98.8197,99.2413,99.9464
228,101.8847,100.4237,101.2531,107.368,106.2012,106.483,102.9014,100.5881
229,99.7483,100.9743,104.2995,110.1123,103.1198,98.8109,105.5833,100.9144
230,98.7163,100.115,103.5198,110.5848,99.924,98.3055,98.1181,105.262
231,101.8051,98.3556,98.8301,107.3651,106.7157,97.393,100.2186,98.9614
232,97.4851,99.5054,99.1207,104.4543,104.3197,99.9,99.7108,98.7526
233,97.6354,97.6052,100.2809,105.8195,101.636,105.3027,98.0027,101.9321
234,97.686,95.2274,99.9191,105.5077,102.4732,102.2017,103.7026,98.6667
235,104.2278,101.1728,97.0009,106.9378,103.7648,101.0061,99.1457,100.3342
236,99.2574,101.833,99.6886,106.7656,105.8314,103.5763,98.8493,97.8006
237,100.3094,101.411,104.828,107.5376,104.2958,100.6515,102.4813,100.6448
238,100.4995,100.8082,96.6027,103.4837,103.8471,100.4061,98.2686,105.5515
239,99.897,97.5475,103.4399,106.0784,105.8526,107.9505,100.7451,100.7508
240,99.8225,101.9483,97.9352,109.9337,103.4638,102.5474,105.6673,102.6664
241,98.3206,102.4494,99.2764,107.6585,106.9675,98.2443,100.5506,99.3368
242,98.8316,99.7075,104.5822,108.4274,102.2083,103.6514,99.3268,99.1343
243,98.7755,98.1488,96.723,110.2081,104.8111,96.8957,103.0049,103.5336
244,100.4516,99.0344,101.985,105.8457,105.0303,107.2474,93.826,99.0265
245,99.3859,99.711,101.303,109.4875,101.2046,103.3714,106.9545,96.5728
246,97.4388,100.8146,100.9269,105.7842,103.5394,104.2514,100.3311,96.4361
247,99.9268,98.3551,95.3509,109.5198,103.0361,100.458,102.7006,98.2236
248,101.5386,102.28,98.4828,103.4877,105.4148,101.8896,97.3929,104.6848
249,99.91,99.6597,102.2595,106.1133,100.7319,104.1806,103.4682,94.5619
250,96.9309,101.1158,100.0762,108.1571,103.4927,99.0205,99.4812,100.204
251,97.6904,93.5503,99.3895,107.7623,102.3237,98.6177,100.1703,99.7182
252,99.4541,103.333,95.69,106.567,104.2548,102.1206,100.1607,98.9835
253,95.9468,101.5619,103.8063,108.6539,106.7407,102.9395,98.8089,100.4179
254,99.523,98.5287,102.6312,103.2751,105.3762,103.3147,104.6488,98.0255
255,101.5194,99.1293,99.277,106.7716,104.5123,104.459,98.7228,104.6277
256,100.5538,99.226,104.4167,106.006,99.7796,101.179,100.6255,98.5669
257,101.9438,100.5712,96.2844,110.1402,104.4177,98.3143,101.3359,99.2005
258,100.9602,100.4607,99.498,102.9231,104.7258,104.961,98.8637,100.7416
259,99.8201,102.6177,102.1903,109.1274,99.6911,98.9429,105.7273,103.653
260,99.1099,97.7527,101.2731,109.7164,102.5497,99.6112,97.1598,104.9325
261,101.6035,99.2572,98.543,107.5034,99.7988,102.4877,101.8663,97.4334
262,99.4991,99.7939,97.9208,107.2408,101.9572,99.8549,103.131,101.2189
263,100.4094,102.9629,101.6876,105.2459,105.2654,105.0079,100.4156,98.2732
264,99.4671,99.1623,98.054,107.0787,104.9351,105.0037,99.7981,102.2877
265,100.345,95.9037,104.3821,101.667,106.8951,103.9765,101.9733,99.7486
266,96.0148,100.6582,102.1023,107.7699,100.4782,103.5925,101.287,99.8194
267,100.5295,100.7486,102.5322,111.1297,106.2847,102.7842,100.7878,106.4358
268,97.2441,100.3134,99.9749,106.5018,103.4365,104.8635,103.6234,102.378
269,99.6856,97.4936,99.0694,107.4433,101.3921,100.949,104.2566,100.3467
270,98.1255,99.4352,95.9252,106.7611,102.4474,100.7135,103.9014,102.1233
271,102.7981,97.8301,99.5013,105.4312,106.0556,99.7756,98.5469,101.14
272,98.3928,97.8671,98.9923,107.6593,104.7229,105.4194,96.7803,99.7907
273,95.1639,102.8505,98.5768,105.8913,105.1992,101.3634,101.5318,98.2578
274,97.936,97.7307,102.1047,106.5042,103.2097,101.2524,102.4685,102.3977
275,103.4706,97.2781,97.9928,108.1644,102.115,102.9257,97.1814,102.7779
276,102.7212,102.8839,99.0034,107.8294,103.1522,102.5011,99.5821,96.4646
277,98.8774,98.9089,103.1033,104.3538,108.98,99.5022,103.0504,99.4362
278,104.2539,98.2771,100.4719,107.4673,103.1289,107.6174,94.8708,104.4778
279,98.0801,99.8865,98.0382,105.1077,100.9914,102.3524,105.1794,95.96
280,99.3519,97.0573,104.3562,106.0412,100.887,99.0085,103.6568,101.902
281,97.5442,97.8787,97.7209,108.5324,103.525,99.5461,99.8683,102.7732
282,100.9612,99.0196,97.747,108.1459,103.8327,102.1676,98.8,100.6069
283,101.2542,100.7845,100.6576,101.0251,107.6895,98.2108,105.6011,101.9454
284,97.4821,103.2011,102.491,105.3081,103.5695,107.1103,97.8676,104.6887
285,99.746,104.1861,103.0127,110.7586,101.5304,103.515,105.2618,97.9982
286,96.5205,99.2803,100.3958,103.8594,105.4151,99.8945,103.7735,103.5449
287,100.3195,97.9608,101.9454,104.3856,102.5816,104.4307,104.9027,102.732
288,101.3198,99.9427,95.5332,108.1198,101.0843,100.3706,104.5068,106.4129
289,98.3189,100.962,99.6982,104.2193,104.7476,99.4532,98.3521,103.1121
290,97.7528,98.4731,101.9414,106.201,99.7128,100.968,100.3101,97.3036
291,100.6765,95.1826,96.594,110.42,105.4327,96.1279,97.6021,98.726
292,99.6527,96.6872,98.4219,106.6484,107.353,101.5329,98.6318,97.9595
293,95.0407,99.9255,101.3957,105.791,105.236,107.002,103.1163,100.1544
294,96.5109,99.5062,100.9126,110.6604,106.3141,104.041,105.6742,103.0375
295,102.033,98.4481,97.8874,107.184,103.8484,104.7732,103.2891,100.5969
296,101.2206,103.6458,96.7171,104.8771,102.3868,103.9157,100.7782,103.0834
297,101.1586,103.0969,101.0804,101.5221,105.7297,97.4361,100.7597,99.8279
298,96.3811,100.5351,102.4186,110.6986,102.1402,101.2773,99.7572,100.686
299,101.3614,95.9438,96.8061,109.037,106.4137,102.1799,99.4928,102.7362
300,98.7533,99.847,98.0921,108.4888,105.6089,107.6106,101.7887,101.2188
